code	url	creator	created_t	created_datetime	last_modified_t	last_modified_datetime	product_name	generic_name	quantity	packaging	packaging_tags	brands	brands_tags	categories	categories_tags	categories_fr	origins	origins_tags	manufacturing_places	manufacturing_places_tags	labels	labels_tags	labels_fr	emb_codes	emb_codes_tags	first_packaging_code_geo	cities	cities_tags	purchase_places	stores	countries	countries_tags	countries_fr	ingredients_text	traces	traces_tags	serving_size	no_nutriments	additives_n	additives	additives_tags	ingredients_from_palm_oil_n	ingredients_from_palm_oil	ingredients_from_palm_oil_tags	ingredients_that_may_be_from_palm_oil_n	ingredients_that_may_be_from_palm_oil	ingredients_that_may_be_from_palm_oil_tags	main_category	main_category_fr	image_url	image_small_url	energy_100g	proteins_100g	casein_100g	serum-proteins_100g	nucleotides_100g	carbohydrates_100g	sugars_100g	sucrose_100g	glucose_100g	fructose_100g	lactose_100g	maltose_100g	maltodextrins_100g	starch_100g	polyols_100g	fat_100g	saturated-fat_100g	butyric-acid_100g	caproic-acid_100g	caprylic-acid_100g	capric-acid_100g	lauric-acid_100g	myristic-acid_100g	palmitic-acid_100g	stearic-acid_100g	arachidic-acid_100g	behenic-acid_100g	lignoceric-acid_100g	cerotic-acid_100g	montanic-acid_100g	melissic-acid_100g	monounsaturated-fat_100g	polyunsaturated-fat_100g	omega-3-fat_100g	alpha-linolenic-acid_100g	eicosapentaenoic-acid_100g	docosahexaenoic-acid_100g	omega-6-fat_100g	linoleic-acid_100g	arachidonic-acid_100g	gamma-linolenic-acid_100g	dihomo-gamma-linolenic-acid_100g	omega-9-fat_100g	oleic-acid_100g	elaidic-acid_100g	gondoic-acid_100g	mead-acid_100g	erucic-acid_100g	nervonic-acid_100g	trans-fat_100g	cholesterol_100g	fiber_100g	sodium_100g	alcohol_100g	vitamin-a_100g	vitamin-d_100g	vitamin-e_100g	vitamin-k_100g	vitamin-c_100g	vitamin-b1_100g	vitamin-b2_100g	vitamin-pp_100g	vitamin-b6_100g	vitamin-b9_100g	vitamin-b12_100g	biotin_100g	pantothenic-acid_100g	silica_100g	bicarbonate_100g	potassium_100g	chloride_100g	calcium_100g	phosphorus_100g	iron_100g	magnesium_100g	zinc_100g	copper_100g	manganese_100g	fluoride_100g	selenium_100g	chromium_100g	molybdenum_100g	iodine_100g	caffeine_100g	taurine_100g	carbon-footprint_100g
0030000061411	http://world-fr.openfoodfacts.org/produit/0030000061411	teolemon	1386079585	2013-12-03T14:06:25Z	1388676409	2014-01-02T15:26:49Z		sweetened corn and oat cereal				Cap'n Crunch	cap-n-crunch																		United States	en:united-states	États-Unis																	http://fr.openfoodfacts.org/images/products/003/000/006/1411/front.3.400.jpg	http://fr.openfoodfacts.org/images/products/003/000/006/1411/front.3.200.jpg																																																																																						
00303705	http://world-fr.openfoodfacts.org/produit/00303705/simply-m-s-oatcakes-marks-and-spencer-plc	teolemon	1385167994	2013-11-23T00:53:14Z	1385201329	2013-11-23T10:08:49Z	Simply M&S  oatcakes		300g			Marks and Spencer plc	marks-and-spencer-plc																		United Kingdom	en:united-kingdom	Royaume-Uni																	http://fr.openfoodfacts.org/images/products/00303705/front.6.400.jpg	http://fr.openfoodfacts.org/images/products/00303705/front.6.200.jpg																																																																																						
00319980	http://world-fr.openfoodfacts.org/produit/00319980/cashew-nuts-marks-spencer	teolemon	1379782020	2013-09-21T16:47:00Z	1379846354	2013-09-22T10:39:14Z	Cashew Nuts	noix de cajou	150g			Marks & Spencer	marks-spencer	noix de cajou	fr:noix-de-cajou	Noix-de-cajou													France	Marks & Spencer	France	en:france	France															fr:noix-de-cajou	Noix-de-cajou	http://fr.openfoodfacts.org/images/products/00319980/front.9.400.jpg	http://fr.openfoodfacts.org/images/products/00319980/front.9.200.jpg																																																																																						
00323796	http://world-fr.openfoodfacts.org/produit/00323796/british-maris-piper-just-bake-chips-marks-and-spencer	teolemon	1379010092	2013-09-12T18:21:32Z	1393012562	2014-02-21T19:56:02Z	British Maris Piper just bake chips	Frites	1kg	sachet plastique,surgelé	sachet-plastique,surgele	marks and spencer	marks-and-spencer	Frites,Chips et frites,Frites surgelées,surgelés	fr:frites,en:chips-and-fries,en:frozen-foods,fr:frites-surgelees	Frites,Chips et frites,Surgelés,Frites surgelées	Angleterre	angleterre											France	Marks and Spencer	France	en:france	France															fr:frites	Frites	http://fr.openfoodfacts.org/images/products/00323796/front.17.400.jpg	http://fr.openfoodfacts.org/images/products/00323796/front.17.200.jpg	700	2.6				28.4	0.9									4.7	0.9																																			4.2	0.05																																	
0033984010291	http://world-fr.openfoodfacts.org/produit/0033984010291		1400774391	2014-05-22T15:59:51Z	1400774438	2014-05-22T16:00:38Z																									en:FR	en:france	France																	http://fr.openfoodfacts.org/images/products/003/398/401/0291/front.3.400.jpg	http://fr.openfoodfacts.org/images/products/003/398/401/0291/front.3.200.jpg																																																																																						
0034000053001	http://world-fr.openfoodfacts.org/produit/0034000053001/hershey-s-unsweetened-dark-chocolate-cocoa-powder		1403450078	2014-06-22T15:14:38Z	1403450167	2014-06-22T15:16:07Z	Hershey's unsweetened dark chocolate cocoa powder					Hershey's	hershey-s																		en:US	en:united-states	États-Unis																	http://fr.openfoodfacts.org/images/products/003/400/005/3001/front.3.400.jpg	http://fr.openfoodfacts.org/images/products/003/400/005/3001/front.3.200.jpg																																																																																						
0034000448609	http://world-fr.openfoodfacts.org/produit/0034000448609	sebleouf	1404139144	2014-06-30T14:39:04Z	1404139180	2014-06-30T14:39:40Z																									en:FR	en:france	France																	http://fr.openfoodfacts.org/images/products/003/400/044/8609/front.3.400.jpg	http://fr.openfoodfacts.org/images/products/003/400/044/8609/front.3.200.jpg																																																																																						
00348638	http://world-fr.openfoodfacts.org/produit/00348638/king-prawn-makhani-marks-spencer	teolemon	1398322807	2014-04-24T07:00:07Z	1398330680	2014-04-24T09:11:20Z	King Prawn Makhani					Marks & Spencer	marks-spencer																		France	en:france	France				200 g													http://fr.openfoodfacts.org/images/products/00348638/front.7.400.jpg	http://fr.openfoodfacts.org/images/products/00348638/front.7.200.jpg																																																																																						
0035046088163	http://world-fr.openfoodfacts.org/produit/0035046088163/garcinia-camboagia-supercitrimax		1393252371	2014-02-24T14:32:51Z	1393252410	2014-02-24T14:33:30Z	garcinia camboagia		210			supercitrimax	supercitrimax																		en:US	en:united-states	États-Unis																	http://fr.openfoodfacts.org/images/products/003/504/608/8163/front.3.400.jpg	http://fr.openfoodfacts.org/images/products/003/504/608/8163/front.3.200.jpg																																																																																						
00353977	http://world-fr.openfoodfacts.org/produit/00353977/saumon-atlantique-fume-thiriet	agamitsudo	1388518570	2013-12-31T19:36:10Z	1388518946	2013-12-31T19:42:26Z	Saumon Atlantique Fumé	Saumon fumé	160 g	Carton	carton	Thiriet	thiriet	Saumons fumés	fr:saumons-fumes,en:seafood,en:smoked-fishes,en:fishes,en:salmons	Saumons fumés,Produits de la mer,Poissons fumés,Poissons,Saumons	Norvège	norvege						FR 89.096.001 CE	fr-89-096-001-ce	47.9,3.566667		chemilly-sur-yonne-yonne-france	France,Auxerre	Thiriet	France	en:france	France	Saumon Atlantique (élevé en Norvège), sel					0			0			0			fr:saumons-fumes	Saumons fumés	http://fr.openfoodfacts.org/images/products/00353977/front.7.400.jpg	http://fr.openfoodfacts.org/images/products/00353977/front.7.200.jpg	838	22.3				0										12.4																																																																						
00356398	http://world-fr.openfoodfacts.org/produit/00356398/jus-de-pommes-et-de-mangues-presse-non-a-base-de-concentre-marks-and-spencer	teolemon	1378640718	2013-09-08T11:45:18Z	1379012578	2013-09-12T19:02:58Z	Jus de pommes et de mangues pressé non à base de concentré		1L	tetrapak	tetrapak	Marks and Spencer	marks-and-spencer	jus de pomme et de mangue,jus de fruits	en:fruit-juices,en:beverages,en:fruit-juices-and-nectars,en:vegetables-and-derived-products,fr:jus-de-pomme-et-de-mangue	Jus de fruits,Boissons,Jus et nectars de fruits,Végétaux et dérivés,Jus-de-pomme-et-de-mangue													Paris	Marks and Spencer	France	en:france	France	Jus de pomme 84%,Purée de mangue 16%,acide ascorbique			250ml		1		e300	0			0			en:fruit-juices	Jus de fruits	http://fr.openfoodfacts.org/images/products/00356398/front.14.400.jpg	http://fr.openfoodfacts.org/images/products/00356398/front.14.200.jpg	205	0.2				11.1	11.1									0.1	0.1																																			0.4	0.1																																	
00369	http://world-fr.openfoodfacts.org/produit/00369/magnesium-300-equilibre-et-bien-etre-yves-rocher	manu1400	1347729782	2012-09-15T17:23:02Z	1347730689	2012-09-15T17:38:09Z	Magnésium 300, équilibre et bien être	fève de cacao enrichie en magnésium	poids net 16g; 30 gélules	boite carton,gélules	boite-carton,gelules	Yves Rocher	yves-rocher	Complément alimentaire	fr:complement-alimentaire	Complement-alimentaire															France	en:france	France	oxyde de magnésium, extrait de fève de cacao (Theobroma cacao L.) (phosphate de magnésium), gélule végétale (agent d'enrobage : hydroxypropylméthylcellulose), agent de charge : amidon de maïs, anti-aglomérents : stéarate de magnésium, talc, dioxyde de silicium, maltodextrines, vitamine B6			2 gélules		4		e464,e470b,e553,e551	0			1		e470b-stearate-de-magnesium	fr:complement-alimentaire	Complement-alimentaire																																																																																								
0038000016219	http://world-fr.openfoodfacts.org/produit/0038000016219		1401483762	2014-05-30T21:02:42Z	1401483788	2014-05-30T21:03:08Z																									en:US	en:united-states	États-Unis																	http://fr.openfoodfacts.org/images/products/003/800/001/6219/front.3.400.jpg	http://fr.openfoodfacts.org/images/products/003/800/001/6219/front.3.200.jpg																																																																																						
00389815	http://world-fr.openfoodfacts.org/produit/00389815	acmegirl	1392064203	2014-02-10T20:30:03Z	1392065148	2014-02-10T20:45:48Z																									en:US	en:united-states	États-Unis																	http://fr.openfoodfacts.org/images/products/00389815/front.3.400.jpg	http://fr.openfoodfacts.org/images/products/00389815/front.3.200.jpg																																																																																						
00403139	http://world-fr.openfoodfacts.org/produit/00403139/black-olive-crackers-marks-and-spencer	manu1400	1380794679	2013-10-03T10:04:39Z	1381843048	2013-10-15T13:17:28Z	Black Olive crackers		150g			Marks and Spencer	marks-and-spencer	crackers	fr:crackers	Crackers															France	en:france	France				4.3g											fr:crackers	Crackers	http://fr.openfoodfacts.org/images/products/00403139/front.9.400.jpg	http://fr.openfoodfacts.org/images/products/00403139/front.9.200.jpg	2090																																																																																					
